,Title,Author,Published date,Format,Sale Price,Old Price,Category
7935,Parable of the Sower,Octavia E. Butler,19 Sep 2019,Paperback,9.99,12.5,Fiction
7936,Neuromancer,William Gibson,08 Dec 2016,Paperback,9.58,12.5,Fiction
7937,The Hobbit and the Lord of the Rings,J. R. R. Tolkien,21 Oct 2014,Paperback,52.02,63.5,Fiction
7938,Frankenstein,Mary Shelley,01 Dec 2020,Hardback,17.66,20.5,Fiction
7939,The Picture of Dorian Gray,Oscar Wilde,28 Jun 2012,Paperback,9.64,10.5,Fiction
7940,All the Light We Cannot See,Anthony Doerr,01 May 2015,Paperback,11.88,12.5,Fiction
7941,Flowers For Algernon,Daniel Keyes,13 Jan 2000,Paperback,9.97,12.5,Fiction
7942,Fahrenheit 451,Ray Bradbury,23 May 2012,Paperback,9.56,9.56,Fiction
7943,Before the Coffee Gets Cold,Toshikazu Kawaguchi,19 Sep 2019,Paperback,11.2,13.5,Fiction
7944,Crime and Punishment,Fyodor Dostoevsky,05 May 2000,Paperback,6.64,9.0,Fiction
7945,A Man Called Ove,Fredrik Backman,07 May 2015,Paperback,10.75,11.5,Fiction
7946,Norwegian Wood,Haruki Murakami,04 Jul 2003,Paperback,11.38,13.5,Fiction
7947,Heaven,Mieko Kawakami,12 May 2022,Paperback,10.35,11.5,Fiction
7948,Tales from the Cafe,Toshikazu Kawaguchi,24 Sep 2020,Paperback,11.18,13.5,Fiction
7949,She and her Cat,Makoto Shinkai,06 Oct 2022,Hardback,11.49,13.5,Fiction
7950,Sweet Bean Paste,Durian Sukegawa,14 Nov 2017,Paperback,9.57,11.5,Fiction
7951,The Three-Body Problem,Cixin Liu,01 Feb 2016,Paperback,12.95,12.95,Fiction
7952,Lonely Castle in the Mirror,Mizuki Tsujimura,08 Sep 2022,Paperback,11.36,12.5,Fiction
7953,Anxious People,Fredrik Backman,19 Aug 2021,Paperback,11.42,13.5,Fiction
7954,The Dangers of Smoking in Bed,Mariana Enriquez,03 Feb 2022,Paperback,9.49,11.5,Fiction
7955,Breasts and Eggs,Mieko Kawakami,10 Jun 2021,Paperback,11.46,13.5,Fiction
7956,Cursed Bunny,Bora Chung,15 Jul 2021,Paperback,15.65,16.0,Fiction
7957,The Years - WINNER OF THE 2022 NOBEL PRIZE IN LITERATURE,Annie Ernaux,20 Oct 2022,Paperback,12.5,12.5,Fiction
7958,Us Against You,Fredrik Backman,07 May 2019,Paperback,13.53,13.53,Fiction
7959,Elena Knows,Claudia Pineiro,13 Jul 2021,Paperback,13.99,15.0,Fiction
7960,"Kim Jiyoung, Born 1982",Cho Nam-Joo,21 Jan 2021,Paperback,10.42,11.5,Fiction
7961,Tokyo Express,Seicho Matsumoto,30 Jun 2022,Paperback,13.66,16.0,Fiction
7962,Perfume,Patrick Süskind,01 Apr 2010,Paperback,10.3,10.3,Fiction
7963,Death's End,Cixin Liu,04 May 2017,Paperback,14.5,14.5,Fiction
7964,Earthlings,Sayaka Murata,01 Jul 2021,Paperback,10.22,13.5,Fiction
7965,The Dark Forest,Cixin Liu,14 Jul 2016,Paperback,14.08,14.5,Fiction
7966,Schoolgirl,Osamu Dazai,28 Jun 2012,Paperback,11.94,12.5,Fiction
7967,Winter in Sokcho,Elisa Shua Dusapin,20 Feb 2020,Paperback,11.72,12.5,Fiction
7968,Anna Karenina,Leo Tolstoy,01 Aug 1997,Paperback,6.42,9.0,Fiction
7969,Life Ceremony,Sayaka Murata,14 Jul 2022,Paperback,12.52,16.5,Fiction
7970,When We Cease to Understand the World,Benjamin Labatut,06 May 2021,Paperback,11.32,12.5,Fiction
7971,Agua Viva,Clarice Lispector,19 Jun 2012,Paperback,14.26,15.5,Fiction
7972,Monkey King: Journey to the West,Wu Ch'Eng-En,11 Feb 2021,Hardback,21.8,26.5,Fiction
7973,Anna Karenina,Leo Tolstoy,30 Jan 2003,Paperback,12.2,12.5,Fiction
7974,Tomb of Sand,Geetanjali Shree,26 Aug 2021,Paperback,14.6,15.0,Fiction
7975,The Idiot,Fyodor Dostoevsky,01 Jan 1998,Paperback,6.73,8.0,Fiction
7976,Cruel Tides,Maria Adolfsson,19 Jan 2023,Paperback,10.3,12.5,Fiction
7977,Verity,Colleen Hoover,20 Jan 2022,Paperback,8.83,11.5,Fiction
7978,The Silent Patient,Alex Michaelides,15 Jan 2020,Paperback,9.49,11.5,Fiction
7979,A Good Girl's Guide to Murder,Holly Jackson,17 Oct 2019,Paperback,10.25,10.5,Fiction
